absence_id,employee_id,employee_name,role,type,start_date,end_date,days_count,reason,status,manager_decision,decision_reason,coverage_impact,compliance_ok,processing_time_hours
64385553-6524-4348-a926-d49960d63290,EMP68832,Catherine Girard,stagiaire,RTT,2024-04-06,2024-04-10,4,Formation professionnelle,approved,refused,Justificatif requis,medium,False,21
26f1e8ec-3acf-445b-b8cc-b67d241eaeba,EMP86320,René Martin,stagiaire,RTT,2024-11-15,2024-11-24,9,Événement familial,approved,refused,Accord manager,low,True,48
fa8ee3c6-de79-454f-ad39-4b381b5c17a0,EMP79606,Jean-Paul Simon,pharmacien_adjoint,congé_payé,2024-04-23,2024-05-07,14,Raison personnelle,approved,approved,Conflit avec autre absence,medium,True,18
e0efd766-3394-4934-b9ff-f344b52510ea,EMP79678,Catherine Moreau,pharmacien_adjoint,congé_payé,2024-02-20,2024-02-29,9,Besoin de repos,approved,refused,Couverture disponible,medium,False,48
5316c640-e9ab-46db-9801-e7a6b2cdc623,EMP93439,Valérie Benoit,employé_rayon,événement_familial,2024-04-25,2024-05-04,9,Événement familial,refused,approved,Accord manager,medium,False,40
2903e8ef-1142-47a2-953c-7dbb7a100c6e,EMP19132,Anne Morin,pharmacien_titulaire,événement_familial,2024-08-24,2024-08-30,6,Formation professionnelle,refused,approved,Conflit avec autre absence,high,True,5
0841196e-6246-48c0-9227-81f23e1c1837,EMP95454,Jacques Lefevre,préparateur,formation,2024-04-19,2024-04-30,11,Formation professionnelle,pending,,,medium,True,2
8f2e9b8a-6dd6-451e-a098-98537ded06ea,EMP34875,André Lefevre,employé_rayon,événement_familial,2024-01-02,2024-01-08,6,Raison personnelle,approved,refused,Accord manager,medium,False,28
f251d229-0a19-4538-a88b-8a15ae71afee,EMP74758,Françoise Poirier,employé_rayon,RTT,2024-07-30,2024-08-11,12,Formation professionnelle,approved,approved,Justificatif requis,high,False,41
c432b64d-24c7-405c-94ee-c79f368b8b58,EMP55937,Florence Gérard,pharmacien_titulaire,formation,2024-01-23,2024-02-05,13,Besoin de repos,approved,refused,Conflit avec autre absence,low,False,46
d82aa394-2d18-415b-b0f9-cddcbe95d4da,EMP81029,Jacques Bernier,pharmacien_adjoint,événement_familial,2024-07-07,2024-07-08,1,Événement familial,pending,,,high,False,5
a6d972d7-80e7-410b-a9a7-7b2cc87c5e44,EMP76785,Sophie Leroy,employé_rayon,maladie,2024-12-18,2024-12-22,4,Congé maladie,approved,refused,Conflit avec autre absence,low,True,38
bb698dcd-cfa5-4a7a-85f4-d6229491b07a,EMP79678,Catherine Moreau,pharmacien_adjoint,congé_payé,2024-06-23,2024-06-30,7,Maternité,refused,approved,Accord manager,high,True,32
14841ad2-1422-4c9e-a504-5653a86df8dc,EMP50997,Marc Blanc,pharmacien_adjoint,maladie,2024-02-05,2024-02-19,14,Congé maladie,pending,,,low,False,8
4577d06f-9f8e-4f1b-9386-ee3218291419,EMP77314,Danielle Blanc,pharmacien_titulaire,congé_payé,2024-01-24,2024-02-06,13,Maladie,approved,approved,Justificatif requis,medium,True,47
de3b1d63-6f18-44c7-9ae5-d405e6de572d,EMP34081,Isabelle Bernier,pharmacien_titulaire,formation,2024-09-08,2024-09-17,9,Besoin de repos,approved,approved,Accord manager,high,False,40
345ceb74-4976-4e52-b851-90ea3ead257c,EMP61890,Claire Poulain,stagiaire,RTT,2024-06-20,2024-06-23,3,Besoin de repos,pending,,,medium,True,21
98c3e7b4-5b6c-4a42-bad6-bf2bdaa9d410,EMP30417,Sylvie Rousseau,pharmacien_adjoint,congé_payé,2024-10-31,2024-11-05,5,Événement familial,approved,refused,Justificatif requis,high,False,43
