employee_id,first_name,last_name,role,contract_type,contract_hours,is_qualified_pharmacist,license_number,hire_date,remaining_vacation,monthly_salary_range,pharmacy_id,city
EMP73974,Pierre,Girard,préparateur,CDD,25,False,,2020-11-29,1,1778-4389,PHARM6945,Toulon
EMP15485,Michèle,Bernier,préparateur,CDD,40,False,,2021-11-10,12,2140-4683,PHARM6945,Lille
EMP22656,Michel,Fournier,employé_rayon,CDD,35,False,,2020-07-24,0,2376-4559,PHARM6945,Aix-en-Provence
EMP66259,Alain,Dubois,préparateur,CDI,20,False,,2021-09-13,5,3618-4302,PHARM6945,Toulouse
EMP59518,Olivier,Gaillard,préparateur,CDI,35,False,,2021-04-29,8,2426-4156,PHARM6945,Clermont-Ferrand
EMP34875,André,Lefevre,employé_rayon,CDI,30,False,,2023-01-10,23,3483-4882,PHARM6945,Rennes
EMP24056,Jacques,Dupont,pharmacien_titulaire,CDI,35,True,RP657148,2020-05-10,24,1922-4568,PHARM6945,Montpellier
EMP94466,Isabelle,Michel,employé_rayon,CDI,30,False,,2021-05-18,16,2037-4882,PHARM6945,Marseille
EMP97804,Daniel,Lefevre,préparateur,CDD,30,False,,2020-02-21,16,2354-4667,PHARM6945,Grenoble
EMP25635,Thierry,Gaillard,stagiaire,CDI,40,False,,2021-04-01,6,3311-4223,PHARM6945,Montpellier
EMP96712,Michèle,Delorme,stagiaire,CDD,35,False,,2021-01-05,17,3319-4600,PHARM6945,Nice
EMP61898,Jacques,Gérard,préparateur,CDI,30,False,,2022-06-19,14,2383-4749,PHARM6945,Rouen
EMP28870,Cécile,Girard,employé_rayon,CDD,25,False,,2022-03-31,0,2402-4513,PHARM6945,Bordeaux
EMP67420,Michèle,Maillard,pharmacien_adjoint,CDD,25,True,RP133021,2022-10-06,25,1721-4265,PHARM6945,Clermont-Ferrand
EMP54954,Laurent,Moreau,pharmacien_adjoint,CDI,30,True,RP846086,2022-07-15,10,3502-4383,PHARM6945,Bordeaux
EMP37064,Sophie,Delacroix,préparateur,CDD,25,False,,2020-10-16,1,3811-4869,PHARM6945,Nice
EMP92211,Irène,Maillard,pharmacien_adjoint,CDI,25,True,RP680595,2022-12-26,21,3351-4301,PHARM6945,Angers
EMP81029,Jacques,Bernier,pharmacien_adjoint,CDD,35,True,RP640444,2021-07-18,6,2093-4230,PHARM6945,Toulon
EMP98552,Michèle,Bernier,pharmacien_adjoint,CDI,25,True,RP700214,2022-04-11,14,3934-4182,PHARM6945,Nice
EMP89869,Anne,Lefevre,employé_rayon,CDI,40,False,,2021-07-23,23,1911-4539,PHARM6945,Paris
EMP36691,André,Leroy,préparateur,CDD,35,False,,2021-09-30,24,1945-4327,PHARM6945,Grenoble
EMP73052,Danielle,Laurent,préparateur,CDD,25,False,,2022-09-10,5,3955-4870,PHARM6945,Angers
EMP75237,Jacques,Fabre,préparateur,CDI,20,False,,2022-01-18,1,3121-4331,PHARM6945,Le Havre
EMP21198,Stéphanie,Blanc,préparateur,CDI,35,False,,2023-02-04,1,3213-4104,PHARM6945,Brest
EMP61716,Philippe,Renaud,pharmacien_titulaire,CDD,40,True,RP361883,2023-07-31,7,3906-4684,PHARM6945,Nîmes
EMP70715,Claire,Michel,pharmacien_adjoint,CDI,40,True,RP283432,2022-03-02,5,3963-4529,PHARM6945,Saint-Denis
EMP33403,Cécile,Dubois,préparateur,CDD,30,False,,2021-02-27,1,1674-4447,PHARM6945,Nantes
EMP29546,Anne,Moreau,préparateur,CDI,40,False,,2020-10-18,25,1547-4839,PHARM6945,Rennes
EMP58426,Michel,Bernard,employé_rayon,CDI,20,False,,2022-10-16,9,1614-4573,PHARM6945,Brest
EMP21002,Irène,Fabre,préparateur,CDI,25,False,,2022-09-02,17,3562-4912,PHARM6945,Limoges
EMP42121,Sophie,Dubois,employé_rayon,CDD,25,False,,2023-04-29,1,1889-4141,PHARM6945,Amiens
EMP63736,Françoise,Morin,stagiaire,CDD,25,False,,2022-06-28,12,3245-4342,PHARM6945,Marseille
EMP54855,Jean,Gaillard,préparateur,CDD,30,False,,2021-12-18,4,2443-4984,PHARM6945,Reims
EMP10390,Isabelle,Fontaine,préparateur,CDI,40,False,,2020-08-08,11,1643-4553,PHARM6945,Aix-en-Provence
EMP21286,Bernard,Morin,stagiaire,CDD,25,False,,2022-05-03,17,3663-4688,PHARM6945,Nîmes
EMP23535,Stéphanie,Fontaine,pharmacien_titulaire,CDI,35,True,RP692231,2023-05-24,17,3346-4398,PHARM6945,Rennes
EMP14811,Alain,Fournier,préparateur,CDI,35,False,,2022-11-27,11,2519-4997,PHARM6945,Montpellier
EMP23586,Philippe,Blanc,pharmacien_adjoint,CDD,40,True,RP298500,2020-05-27,22,2107-4672,PHARM6945,Amiens
EMP49470,Valérie,Maillard,préparateur,CDI,40,False,,2021-07-03,24,1771-4268,PHARM6945,Nantes
EMP76224,Jean,Fabre,préparateur,CDD,40,False,,2020-01-21,0,2873-4807,PHARM6945,Montpellier
EMP79971,Laurent,Poirier,pharmacien_adjoint,CDI,25,True,RP770464,2021-02-13,12,2646-4671,PHARM6945,Angers
EMP23811,Luc,Gérard,pharmacien_adjoint,CDI,30,True,RP134923,2021-04-10,18,2295-4940,PHARM6945,Brest
EMP79692,Christian,Delorme,pharmacien_adjoint,CDI,25,True,RP691220,2021-04-10,24,2995-4992,PHARM6945,Amiens
EMP94416,Nathalie,Martin,pharmacien_adjoint,CDI,20,True,RP666010,2023-11-02,15,2131-4360,PHARM6945,Montpellier
EMP89511,Georges,Rousseau,pharmacien_adjoint,CDD,25,True,RP869607,2020-02-26,17,2261-4268,PHARM6945,Grenoble
EMP90071,Pierre,Morin,pharmacien_titulaire,CDI,40,True,RP474538,2021-11-25,7,3460-4321,PHARM6945,Le Mans
EMP17191,Daniel,Leclerc,pharmacien_adjoint,CDI,40,True,RP486718,2022-05-07,25,3499-4596,PHARM6945,Nantes
EMP95894,Thérèse,Delorme,pharmacien_titulaire,CDD,25,True,RP273158,2021-11-02,25,3372-4224,PHARM6945,Clermont-Ferrand
EMP52819,Joseph,Girard,pharmacien_titulaire,CDI,35,True,RP571794,2020-05-22,19,3481-4615,PHARM6945,Saint-Denis
EMP31997,Daniel,Fournier,pharmacien_adjoint,CDD,20,True,RP515597,2023-01-31,3,3018-4994,PHARM6945,Saint-Denis
EMP12502,Christine,Girard,préparateur,CDI,30,False,,2023-08-26,2,2965-4689,PHARM6945,Toulouse
EMP65783,Catherine,Gaillard,préparateur,CDI,40,False,,2022-12-13,23,2522-4777,PHARM6945,Saint-Étienne
EMP97917,Catherine,Dupont,préparateur,CDD,30,False,,2021-01-02,21,2695-4824,PHARM6945,Reims
EMP47547,Jacques,Dubois,pharmacien_titulaire,CDD,35,True,RP449443,2021-01-03,19,2834-4473,PHARM6945,Strasbourg
EMP70672,Florence,Poirier,employé_rayon,CDD,25,False,,2020-10-11,5,1611-4163,PHARM6945,Rennes
EMP30417,Sylvie,Rousseau,pharmacien_adjoint,CDD,20,True,RP451320,2021-12-21,20,2056-4615,PHARM6945,Nantes
EMP25587,Michèle,Martin,pharmacien_titulaire,CDI,20,True,RP690608,2022-01-22,11,3634-4760,PHARM6945,Bordeaux
EMP39914,Françoise,Fontaine,pharmacien_adjoint,CDI,40,True,RP191877,2022-03-27,11,3422-4652,PHARM6945,Bordeaux
EMP10250,Claire,Leroy,pharmacien_adjoint,CDD,30,True,RP637517,2022-01-26,12,2899-4536,PHARM6945,Bordeaux
EMP10883,Valérie,Gérard,préparateur,CDI,20,False,,2023-05-13,8,2832-4958,PHARM6945,Aix-en-Provence
EMP33394,Philippe,Lefevre,préparateur,CDI,35,False,,2023-06-28,13,3372-4286,PHARM6945,Reims
EMP96830,Jean,Roux,pharmacien_titulaire,CDD,30,True,RP642364,2020-05-26,7,3909-4397,PHARM6945,Grenoble
EMP14020,Anne,Arnould,préparateur,CDD,25,False,,2021-02-16,25,2743-4252,PHARM6945,Aix-en-Provence
EMP66862,Catherine,Leroy,pharmacien_titulaire,CDD,20,True,RP202825,2023-11-28,3,3635-4869,PHARM6945,Lille
EMP98051,Anne,Renaud,pharmacien_adjoint,CDI,35,True,RP929620,2023-09-04,6,1956-4249,PHARM6945,Saint-Étienne
EMP26400,Jacques,Fournier,préparateur,CDD,25,False,,2020-05-14,16,3382-4254,PHARM6945,Nantes
EMP29927,Alain,Maillard,employé_rayon,CDD,35,False,,2022-01-13,8,2298-4944,PHARM6945,Limoges
EMP91623,Joseph,Andre,pharmacien_titulaire,CDD,40,True,RP501146,2020-08-27,15,1622-4997,PHARM6945,Angers
EMP62099,Valérie,Roux,pharmacien_titulaire,CDI,25,True,RP220365,2022-08-13,2,2340-4706,PHARM6945,Grenoble
EMP71293,Philippe,Bernard,pharmacien_adjoint,CDD,40,True,RP740388,2022-06-07,11,1945-4525,PHARM6945,Bordeaux
EMP26857,Pierre,Renaud,pharmacien_titulaire,CDI,35,True,RP381670,2022-10-15,10,3324-4528,PHARM6945,Marseille
EMP56855,Christiane,Gérard,pharmacien_adjoint,CDI,20,True,RP460657,2021-04-18,19,2148-4700,PHARM6945,Aix-en-Provence
EMP54908,Françoise,Arnould,pharmacien_adjoint,CDI,35,True,RP723746,2022-03-25,6,3208-4251,PHARM6945,Saint-Étienne
EMP13704,Nathalie,Martin,pharmacien_adjoint,CDI,40,True,RP989150,2022-11-20,22,2233-4310,PHARM6945,Toulon
EMP57775,Olivier,Fabre,préparateur,CDD,40,False,,2021-08-07,0,2443-4440,PHARM6945,Lyon
EMP98782,Pierre,Blanc,préparateur,CDD,25,False,,2022-07-02,8,3994-4339,PHARM6945,Amiens
EMP91325,Jean,Delacroix,préparateur,CDD,25,False,,2020-06-22,20,2511-4466,PHARM6945,Nice
EMP16128,Pascale,Roux,préparateur,CDD,30,False,,2023-04-25,2,2541-4205,PHARM6945,Montpellier
EMP73176,Jacques,Renaud,employé_rayon,CDD,25,False,,2020-07-28,12,3121-4978,PHARM6945,Clermont-Ferrand
EMP24039,Stéphanie,Simon,employé_rayon,CDD,35,False,,2020-09-19,16,1733-4923,PHARM6945,Strasbourg
EMP11451,Valérie,Rousseau,préparateur,CDD,20,False,,2023-01-18,1,3409-4965,PHARM6945,Grenoble
EMP48344,André,Bernard,pharmacien_adjoint,CDI,30,True,RP617873,2021-10-09,13,2648-4564,PHARM6945,Reims
EMP37130,Irène,Simon,employé_rayon,CDI,20,False,,2023-04-06,4,1669-4665,PHARM6945,Clermont-Ferrand
EMP69057,Valérie,Michel,employé_rayon,CDD,25,False,,2022-04-10,10,1980-4406,PHARM6945,Rennes
EMP70018,Pierre,Rousseau,préparateur,CDD,20,False,,2020-05-31,2,2652-4600,PHARM6945,Angers
EMP34081,Isabelle,Bernier,pharmacien_titulaire,CDI,30,True,RP679818,2023-01-26,8,3457-4418,PHARM6945,Paris
EMP75855,Françoise,Girard,préparateur,CDD,25,False,,2020-06-10,21,2582-4109,PHARM6945,Saint-Étienne
EMP95294,Martine,Roux,pharmacien_adjoint,CDI,40,True,RP498719,2023-12-30,6,2137-4744,PHARM6945,Lille
EMP14516,Catherine,Rousseau,pharmacien_titulaire,CDD,25,True,RP382156,2022-02-17,19,3713-4362,PHARM6945,Angers
EMP21924,Christine,Morin,pharmacien_titulaire,CDD,35,True,RP781808,2023-02-23,11,2594-4785,PHARM6945,Paris
EMP21422,Thérèse,Moreau,préparateur,CDD,35,False,,2022-09-14,12,2877-4158,PHARM6945,Reims
EMP81452,Philippe,Martin,pharmacien_titulaire,CDD,25,True,RP642486,2023-01-26,23,3017-4189,PHARM6945,Lyon
EMP87724,Isabelle,Simon,pharmacien_adjoint,CDI,30,True,RP281926,2023-02-04,9,1865-4500,PHARM6945,Strasbourg
EMP62021,Paul,Gaillard,pharmacien_titulaire,CDI,20,True,RP337726,2023-04-22,12,2402-4433,PHARM6945,Toulouse
EMP46402,Martine,Bernard,employé_rayon,CDI,30,False,,2023-02-11,12,1965-4287,PHARM6945,Saint-Denis
EMP98141,Daniel,Fournier,employé_rayon,CDI,20,False,,2023-07-12,20,2126-4855,PHARM6945,Aix-en-Provence
EMP99430,Nathalie,Arnould,employé_rayon,CDI,35,False,,2022-08-23,12,3936-5000,PHARM6945,Rennes
EMP35555,Monique,Fabre,pharmacien_titulaire,CDI,20,True,RP750352,2022-07-23,14,3478-4760,PHARM6945,Nice
EMP80460,Christian,Michel,pharmacien_adjoint,CDD,35,True,RP988574,2023-11-05,0,1709-4231,PHARM6945,Bordeaux
EMP98895,Florence,Poulain,pharmacien_titulaire,CDI,35,True,RP922911,2022-03-12,1,2683-4514,PHARM6945,Le Mans
EMP12909,Michèle,Andre,préparateur,CDD,30,False,,2023-06-12,18,1514-4792,PHARM6945,Toulon
